320	0	7-10-8-14	Toward the end of his term , ElBaradei changed his tone about Iran , creating the impression that he had had awakened from his illusion that Iran could be convinced to compromise .
321	1	23-26-25-28	Since 2004 , the Christian nonprofit group Focus on the Family has placed 341 ultrasound machines in pregnancy crisis centers , where staff members typically discourage women from getting abortions .
322	1	1-7-5-10	The NSC also plans to select four segments to be given English subtitles so that they can be broadcast abroad to help foreigners understand Taiwan 's scientific achievements , Chang added .
323	0	3-8-6-12	But while George Kennedy , who served five years in prison for having sex with a 15-year-old girl , and convicted rapist Roy Lee Smith remain in prison for parole violations , police said months ago they are not connected with Nevaeh 's murder .
324	0	4-7-5-10	California Democratic Sen. Barbara Boxer went a step further , calling Palin a `` dangerous choice '' because of her inexperience .
325	0	14-20-16-25	On Monday , Saudi permanent representative to the AL Ahmad Qattan said here that he would head his country 's delegation to the summit , ruling out the presence of Saudi King Abdullah , whose country holds the rotating chairmanship of the 19th summit .
326	0	1-21-19-23	James Dobson , head of the conservative group Focus on the Family and a past critic of McCain , praised the Palins , saying the couple should `` be commended once again for not just talking about their pro-life and pro-family values , but living them out even in the midst of trying circumstances . ''
327	0	16-21-17-23	His physician said he did not suffer a stroke , as was first suspected , and he recovered enough by Saturday afternoon to watch a Boston Red Sox baseball game on television and eat takeout food from the city 's famed Legal Sea Foods .
328	0	41-45-42-1	While breaking no new ground in his defense of Gonzales -- who served as his first White House counsel and , before that , as a Texas supreme court justice and a Bush legal adviser in Texas -- the president 's response offered a new sign of support .
329	1	21-24-22-26	A laboratory test on seawater from six tourist beaches in Indonesia 's Bali shows that they are polluted , the Jakarta Globe quoted an expert as saying on Friday .
330	1	0-4-2-6	She recently called on Reid to repeal the policy during an interview with talk show host Ellen DeGeneres .
331	0	0-3-1-9	He attended Oxford University as a Rhodes scholar , majoring in Arabic , Arab history and Muslim law .
332	0	1-20-18-22	Major opposition All Basotho Convention has already indicated it will not be part of the march and will dissuade its membership from attending .
333	0	17-13-14-0	Speaking at the ceremony at St Stephan 's Cathedral , Austrian President Heinz Fischer praised Waldheim 's contribution to the development of Austria and the human beings .
334	0	4-11-5-13	In February , the company dropped its $ 560 million stock-and-cash bid to buy out National Beef Packing Co. , the fourth-largest U.S. beef processor .
335	0	10-15-12-22	In the Nevada Senate race , for instance , independent groups had spent at least $ 4.2 million through early October to oppose Senate Majority Leader Harry Reid , a Democrat , and support his Republican rival , Sharron Angle , according to data from the Federal Election Commission and the Committee for Responsive Politics , an independent research group .
336	0	9-12-10-0	Named ABA Rookie of the Year in 1975 , Barnes averaged 24.1 points and 13.4 rebounds in his two ABA seasons before the league folded .
337	1	17-30-28-35	Transportation Secretary Ray LaHood said in a statement that he has directed the Federal Motor Carrier Safety Administration -LRB- FMCSA -RRB- to `` use its existing authority to prohibit commercial truck and bus drivers from texting while driving , using any handheld cellphone or other device that takes a driver 's attention off the road . ''
338	1	23-29-24-31	Russia may seek the extradition of Viktor Bout , an internationally wanted arms dealer arrested in Bangkok on Thursday , RIA Novosti news agency quoted a Russian law enforcement official as saying .
339	1	2-8-6-10	while ConAgra Foods will try to entice theater owners into stocking Slim Jims and Crunch 'n Munch .
340	1	4-7-5-9	This spring , the church gave Dillinger research to back his case as he pushed the Legislature for changes limiting the use of psychotropic drugs on children in state care .
341	0	5-21-19-27	Last year , the Red Sox , facing elimination , rallied from a seven-run deficit in Game 5 and took Tampa Bay to a seventh game before succumbing .
342	0	0-6-1-14	Magellan averaged a 29 percent annual return from 1977 to 1990 under Lynch , helping drive Fidelity 's strong growth in the 1980s and into the 1990s .
343	0	2-9-5-15	The ABC leader has already voiced a number of grievances about the electoral process , raising the spectre of another contested ballot in a nation which underwent huge turmoil when the 1998 election outcome was disputed .
344	1	19-23-22-25	Chris Diamantopoulos may be playing the best gay pal of Debra Messing on a TV show , but the actor does n't want anyone to expect his role on USA Network 's `` The Starter Wife '' to resemble the Eric McCormack part on Messing 's last series , `` Will & amp ; Grace . ''
345	1	24-37-28-40	The Justice Department took steps on Tuesday to shut down a big piece of the Jackson Hewitt tax-preparation empire , charging that more than 165 of its stores enabled tens of thousands of middle - and lower-income people to fraudulently obtain $ 70 million by falsifying their federal tax returns .
346	1	7-14-8-20	A Mainland Affairs Council -LRB- MAC -RRB- official warned Taiwan 's local travel agency operators and tour guides Sunday from dealing in yuan , the Chinese currency .
347	0	42-45-44-47	Some news sources say that no live Nukes have been airborne since SAC ended the chromedome flights after that mess at Thule , but I find that hard to believe , since SAC was at DEFCON3 over the '73 war when the Soviets were making noises about supporting the Syrians , and there was another when Nixon was trying to make a point , Operation Lance , or something like that , where B-52s were back on the racetrack pattern at Failsafe point
348	0	7-10-8-20	Nader has raised $ 1.9 million since he entered the race this year , including $ 365,973 in August , leaving him with $ 390,118 in the bank at the end of the month , according to campaign finance reports filed this week with the Federal Election Commission .
