65	0	12-16-13-21	Insurance and banking shares led Wednesday 's gains after Moody 's Investors Service affirmed top-notch credit ratings for MBIA Inc. , reducing worries about insurers of so-called `` monolines '' -- single financial services such as home mortgages or one class of insurance .
1978	1	0-2-1-6	Khamenei warned Palestinians in particular to keep their unity amid deadly factional bickering between the mainstream Fatah faction and the Islamists of Hamas . 
6	0	1-12-9-28	The Call of Duty Endowment , or CODE , made its first grant , of $ 375,000 , in November to the Washington-based Paralyzed Veterans of America to set up a vocational center in Boston .
1567	1	8-13-12-17	she 's a spoiled little bitch and the girls just do n't want jake to be the one who has to buy her a new car every time she crashes one . 
37	1	3-26-20-30	Committee Chairman Barney Frank , D-Mass. , and Rep. Paul Gillmor , an Ohio Republican on the panel , have introduced the Industrial Bank Holding Company Act of 2007 to block new ILCs and expand the FDIC 's examination and enforcement powers over existing ones .
51	0	4-11-9-21	The IAPA 's executive director , Julio Munoz , denied the Miami - based association has unfairly singled Venezuela out , saying the group warns against perceived threats to press freedoms across the Americas regardless of political leanings .
85	1	5-13-10-19	However , the daily Ipsos poll for Le Point magazine showed a widening gap between the two front-runners , putting Sarkozy at 30 percent and Royal 23.5 percent -- with Bayrou holding steady at 18.5 percent and Le Pen dropping slightly to 13 percent .
1335	1	34-46-44-48	Scores of politicians , business executives and economic development officials ranging from Georgia Gov. Sonny Perdue to Metro Atlanta Chamber of Commerce President Sam Williams had lobbied on Delta 's behalf , arguing that access to China would boost exporters in the Southeast and draw Chinese businesses to open facilities in the region . 
1377	1	21-32-30-34	Obama 's aides said they had learned from what they described as the mistake of the 2004 Democratic convention -- when aides to Sen. John Kerry 's campaign sought to forbid convention speakers from going after President Bush -- and would use these four days to draw sharp contrasts with Sen. John McCain , particularly on the economy and McCain 's opposition to abortion rights . 
2006	1	4-9-8-11	Levant said Houle 's advice to Coulter had emboldened students to block her appearance . 
146	0	29-40-32-45	`` When I think back over 10 years , I can genuinely say I 've had the best time I 've ever had in my life , '' said Cowell , who left his `` American Idol '' judge 's seat earlier this year to launch an American version of his hit British singing competition `` The X Factor '' next year on Murdoch 's Fox Network .
75	0	9-13-11-1	After living in the U.S. for 10 years , applicants must renew their identification -- a process that involves immigration officials collecting biometric information and conducting background checks against law enforcement databases , said agency spokesman Chris Bentley .
134	0	4-11-5-13	In February , the company dropped its $ 560 million stock-and-cash bid to buy out National Beef Packing Co. , the fourth-largest U.S. beef processor .
